idx,label,sentence1,sentence2,explanation
5974,entailment,A man in a lab coat looking into a microscope with containers in the background.,A man in a lab coat.,The man in the lab coat is looking in the microscope.
5975,neutral,A man in a lab coat looking into a microscope with containers in the background.,A man with a lab coat works in a lab.,You can not infer he works in a lab.
5976,neutral,A man who has a gray beard and gray hair laughs while wearing a purple shirt.,A man is laughing at a woman who has fallen over.,The man is laughing.  He could be laughing for many reasons. Everyone who laughs is not laughing at a woman who has fallen over.
5977,entailment,A man who has a gray beard and gray hair laughs while wearing a purple shirt.,A man is cheerful.,He laughs because he is cheerful.
5978,contradiction,A man who has a gray beard and gray hair laughs while wearing a purple shirt.,A bald man is watching tennis.,A bald man cannot have gray hair on head.
5979,entailment,A girl in a pink sundress rides a bike next to a white picket fence.,A girl rides a bike.,A girl who rides a bike rides a bike.
5980,contradiction,A girl in a pink sundress rides a bike next to a white picket fence.,A girl surfing.,"The girl cannot be riding a bike and surfing at the same time. Also, people do not wear sundresses while surfing."
5981,neutral,A girl in a pink sundress rides a bike next to a white picket fence.,A girl rides a bike to the park.,Riding a bike next to a white picket fence doesn't mean the destination is the park.
5982,entailment,Man sitting down in a asian custom and styled room.,A man sitting down indoors in a room.,All rooms are indoors.
5983,contradiction,Man sitting down in a asian custom and styled room.,A couple kissing passionately in an asian room.,It refers to a man and then to a couple.
5984,neutral,Man sitting down in a asian custom and styled room.,A man waiting for his bride at a table in the room.,Just because a man is sitting down does not mean that he is at a table or that he is waiting for his bride.
5985,contradiction,Male nun smoking a cigarette.,Male nun is on the moon.,the male nun can not be on the moon if he is smoking a cigarette
5986,neutral,Male nun smoking a cigarette.,Male nun is addicted to nicotine.,There is no such thing as a male nun. Smoking doesn't prove he's addicted.
5987,entailment,Male nun smoking a cigarette.,Male nun is inhaling.,Inhaling by smoking a cigarette.
5988,contradiction,A little brown-haired girl up in a tree.,The boy jumped from the tree.,Girl is contradictory to boy.
5989,entailment,A little brown-haired girl up in a tree.,There is a girl playing on the tree.,A little brown-hair girl up in a tree implies that a girl playing on the tree.
5990,entailment,A little brown-haired girl up in a tree.,A girl climbed up the tree.,It is implied that a little girl up in a tree is there because she climbed up the tree.
5991,neutral,A man is standing next to a bin overflowing with garbage.,The trash hasn't been collecting for several days.,Just because the bin is overflowing doesn't mean it has necessarily been collecting for several days or not.
5992,contradiction,A man is standing next to a bin overflowing with garbage.,A man is driving away from an empty garbage bin.,The man can't be standing and driving at the same time.
5993,entailment,A man is standing next to a bin overflowing with garbage.,The garbage bin is full.,"If the garbage bin is overflowing, it is full."
5994,entailment,School kids all in blue backpacks.,Young students all carry blue book bags.,School kids are students and a backpack is a book bag.
5995,contradiction,School kids all in blue backpacks.,Businessmen all in suits carrying black briefcases.,There can either be schools kids or businessmen. They can be either carrying briefcases or backpacks.
5996,neutral,School kids all in blue backpacks.,Female school students in uniforms all in blue backpacks.,School kids does not imply that they are female nor that they are wearing uniforms.
5997,neutral,"Dozens of street performers in fuchsia, red, yellow and black outfits are dancing and singing along a city street.",The people were singing and dancing in a parade.,The street performers could be performing for people passing by but we are never told that a parade is happening on the street.
